KEY,FREQ,REF_AREA,CES_BREAKDOWN,CES_CUSTOM,CES_VARIABLE,CES_ANSWER,CES_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,COMPILATION,DECIMALS,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
CES.M.Z18.ALL.T.E2020.NUM_VAR.WM,M,Z18,ALL,T,E2020,NUM_VAR,WM,2022-08,2.3,A,F,,,P1M,,U,,,,1,"Inflation expectations 5 years ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Inflation expectations 5 years ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.E2020.NUM_VAR.WM,M,Z18,ALL,T,E2020,NUM_VAR,WM,2022-09,2.1,A,F,,,P1M,,U,,,,1,"Inflation expectations 5 years ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Inflation expectations 5 years ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.E2020.NUM_VAR.WM,M,Z18,ALL,T,E2020,NUM_VAR,WM,2022-10,2,A,F,,,P1M,,U,,,,1,"Inflation expectations 5 years ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Inflation expectations 5 years ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.E2020.NUM_VAR.WM,M,Z18,ALL,T,E2020,NUM_VAR,WM,2022-11,2,A,F,,,P1M,,U,,,,1,"Inflation expectations 5 years ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Inflation expectations 5 years ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.E2020.NUM_VAR.WM,M,Z18,ALL,T,E2020,NUM_VAR,WM,2022-12,2,A,F,,,P1M,,U,,,,1,"Inflation expectations 5 years ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Inflation expectations 5 years ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.E2020.NUM_VAR.WM,M,Z18,ALL,T,E2020,NUM_VAR,WM,2023-01,2,A,F,,,P1M,,U,,,,1,"Inflation expectations 5 years ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Inflation expectations 5 years ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.E2020.NUM_VAR.WM,M,Z18,ALL,T,E2020,NUM_VAR,WM,2023-02,2,A,F,,,P1M,,U,,,,1,"Inflation expectations 5 years ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Inflation expectations 5 years ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.E2020.NUM_VAR.WM,M,Z18,ALL,T,E2020,NUM_VAR,WM,2023-03,2,A,F,,,P1M,,U,,,,1,"Inflation expectations 5 years ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Inflation expectations 5 years ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.E2020.NUM_VAR.WM,M,Z18,ALL,T,E2020,NUM_VAR,WM,2023-04,2,A,F,,,P1M,,U,,,,1,"Inflation expectations 5 years ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Inflation expectations 5 years ahead (% change) - Numeric variable - Weighted median",PN,0
CES.M.Z18.ALL.T.E2020.NUM_VAR.WM,M,Z18,ALL,T,E2020,NUM_VAR,WM,2023-05,2,A,F,,,P1M,,U,,,,1,"Inflation expectations 5 years ahead (% change), Weighted median","Monthly - Euro area 11 (DE, IT, ES, FR, NL, BE, FI, AT, GR, PT, IE) - No specific breakdown - Total - Inflation expectations 5 years ahead (% change) - Numeric variable - Weighted median",PN,0
