"date","chart_id","series_id","series_name","country","value","axis","unit","source","source_url","frequency","source_note"
"1998-07-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",56.978,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
"1998-08-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",55.182,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
"1998-09-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",55.431,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
"1998-10-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",54.008,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
"1998-11-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",52.226,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
"1998-12-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",50.792,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
"1999-01-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",51.327,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
"1999-02-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",52.555,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
"1999-03-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",53.251,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
"1999-04-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",53.991,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
"1999-05-01","pmi_ea_aggregate","pmi_ea_aggregate","Composite","Euro Area",54.778,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html","monthly",""
